row,col,SegNum,ReachNum,BC,width,cond,cond_total
76,257,63,3,STR,2,0.4949,0.4949
77,257,63,4,STR,2,0.4766,0.4766
78,257,63,5,STR,2,0.018714,3.8127878
74,261,64,1,STR,15,0.36659,0.36659
75,261,64,2,STR,15,0.48347,0.48347
76,261,64,3,STR,15,0.075059,0.075059
76,262,64,4,STR,15,0.40344,0.492454
70,104,65,1,STR,10,0.061405,0.061405
71,104,65,2,STR,10,0.19026,0.19026
72,104,65,3,STR,10,0.051941,0.051941
72,105,65,4,STR,10,0.19573,0.19573
73,105,65,5,STR,10,0.036328,0.036328
73,106,65,6,STR,10,0.16862,0.16862
